settings,grid,on
,x,f(x)
1,-10.0,-14.048351311540141
2,-9.959919839679358,-13.377245111869868
3,-9.919839679358718,-12.63231230430586
4,-9.879759519038076,-11.819659569663397
5,-9.839679358717435,-10.945712711568884
6,-9.799599198396793,-10.017170127897936
7,-9.759519038076153,-9.040955428998664
8,-9.719438877755511,-8.024169515516864
9,-9.67935871743487,-6.97404242608332
10,-9.639278557114228,-5.897885260687699
11,-9.599198396793588,-4.803042479316895
12,-9.559118236472946,-3.6968448674474415
13,-9.519038076152304,-2.5865634503396038
14,-9.478957915831664,-1.479364626870941
15,-9.438877755511022,-0.38226678097573263
16,-9.39879759519038,-0.6979013852746371
17,-9.358717434869739,-1.7545405681935606
18,-9.318637274549099,-2.7813184162489333
19,-9.278557114228457,-3.7722047261362537
20,-9.238476953907815,-4.7215041044955575
21,-9.198396793587175,-5.623885937648667
22,-9.158316633266534,-6.474411531382915
23,-9.118236472945892,-7.268558302942159
24,-9.07815631262525,-8.002240927872199
25,-9.03807615230461,-8.671829365068838
26,-8.997995991983968,-9.274163704166993
27,-8.957915831663327,-9.80656580015355
28,-8.917835671342685,-10.266847680663203
29,-8.877755511022045,-10.653316731697503
30,-8.837675350701403,-10.964777687377191
31,-8.797595190380761,-11.200531468680776
32,-8.75751503006012,-11.360370934829296
33,-8.71743486973948,-11.444573628946722
34,-8.677354709418838,-11.453891616758742
35,-8.637274549098196,-11.389538533303728
36,-8.597194388777556,-11.253173967832952
37,-8.557114228456914,-11.046885331200773
38,-8.517034068136272,-10.773167363022065
39,-8.47695390781563,-10.434899447645858
40,-8.43687374749499,-10.035320918511273
41,-8.396793587174349,-9.578004539673403
42,-8.356713426853707,-9.066828361180965
43,-8.316633266533067,-8.505946151528937
44,-8.276553106212425,-7.899756615585826
45,-8.236472945891784,-7.252871610197817
46,-8.196392785571142,-6.570083572103508
47,-8.156312625250502,-5.856332373865133
48,-8.11623246492986,-5.1166718232510515
49,-8.076152304609218,-4.3562360199188115
50,-8.036072144288577,-3.5802057803787495
51,-7.9959919839679365,-2.79377533810989
52,-7.955911823647295,-2.0021195203962288
53,-7.915831663326653,-1.2103615970101622
54,-7.875751503006012,-0.4235419883469143
55,-7.835671342685371,-0.3534119879211394
56,-7.7955911823647295,-1.1157151620816899
57,-7.755511022044088,-1.8587521902719681
58,-7.715430861723447,-2.5781037169211474
59,-7.675350701402806,-3.269570885495059
60,-7.635270541082164,-3.929198073765664
61,-7.595190380761523,-4.553293742838389
62,-7.555110220440882,-5.138449302629617
63,-7.515030060120241,-5.681555910305004
64,-7.474949899799599,-6.179819132277238
65,-7.434869739478958,-6.630771414628553
66,-7.394789579158317,-7.03228232117933
67,-7.354709418837675,-7.3825665127815085
68,-7.314629258517034,-7.6801894556869925
69,-7.274549098196393,-7.924070860941994
70,-7.234468937875752,-8.11348587060637
71,-7.19438877755511,-8.248064020113043
72,-7.154308617234469,-8.327786019190794
73,-7.114228456913828,-8.352978406402467
74,-7.074148296593187,-8.32430614443117
75,-7.034068136272545,-8.242763234717383
76,-6.993987975951904,-8.109661440850351
77,-6.953907815631263,-7.92661722019475
78,-6.913827655310621,-7.695536972540303
79,-6.8737474949899795,-7.4186007230547375
80,-6.833667334669339,-7.098244364462097
81,-6.793587174348698,-6.737140590128054
82,-6.753507014028056,-6.338178655585275
83,-6.713426853707415,-5.904443110955992
84,-6.673346693386774,-5.439191650711281
85,-6.6332665330661325,-4.945832230240198
86,-6.593186372745491,-4.4278996007832605
87,-6.55310621242485,-3.889031415418757
88,-6.513026052104209,-3.3329440589852646
89,-6.472945891783567,-2.763408354094372
90,-6.432865731462925,-2.184225293753689
91,-6.3927855711422845,-1.5992019486065205
92,-6.352705410821644,-1.0121276934309773
93,-6.312625250501002,-0.42675089336163613
94,-6.272545090180361,-0.15324381466050843
95,-6.23246492985972,-0.7242575153966059
96,-6.192384769539078,-1.2827981603451903
97,-6.152304609218437,-1.8255007478943035
98,-6.112224448897796,-2.349146429790017
99,-6.072144288577155,-2.8506804432631663
100,-6.032064128256513,-3.327228776774244
101,-5.991983967935872,-3.7761134863718593
102,-5.95190380761523,-4.19486658905187
103,-5.9118236472945895,-4.581242469191125
104,-5.871743486973948,-4.933228744050183
105,-5.831663326653307,-5.249055544429302
106,-5.791583166332665,-5.5272031767609695
107,-5.751503006012024,-5.766408143166162
108,-5.711422845691383,-5.965667506230847
109,-5.671342685370742,-6.124241595412167
110,-5.631262525050101,-6.24165506200273
111,-5.591182364729459,-6.317696299408623
112,-5.551102204408818,-6.352415255077275
113,-5.511022044088176,-6.3461196696928885
114,-5.470941883767535,-6.299369788189003
115,-5.430861723446894,-6.212971595663368
116,-5.390781563126253,-6.087968639374832
117,-5.350701402805611,-5.925632505615176
118,-5.31062124248497,-5.727452027342589
119,-5.270541082164329,-5.495121305004674
120,-5.2304609218436875,-5.230526628936867
121,-5.190380761523047,-4.935732397071114
122,-5.150300601202405,-4.612966126407074
123,-5.110220440881764,-4.264602660765993
124,-5.070140280561122,-3.89314768075131
125,-5.030060120240481,-3.5012206245702107
126,-4.98997995991984,-3.091537130420085
127,-4.949899799599199,-2.6668911125121872
128,-4.909819639278557,-2.230136583492248
129,-4.869739478957916,-1.7841693360319186
130,-4.829659318637275,-1.3319085957134154
131,-4.789579158316633,-0.8762787560281795
132,-4.7494989979959925,-0.42019130437339286
133,-4.709418837675351,-0.03347295462025309
134,-4.66933867735471,-0.48188127523692725
135,-4.629258517034068,-0.9222658468130822
136,-4.589178356713427,-1.3519400746157517
137,-4.5490981963927855,-1.7683141749561841
138,-4.509018036072145,-2.1689099992425773
139,-4.468937875751503,-2.5513750073177275
140,-4.428857715430862,-2.9134953164607906
141,-4.388777555110221,-3.2532077588196344
142,-4.348697394789579,-3.5686108867371296
143,-4.308617234468938,-3.8579748724003275
144,-4.268537074148297,-4.119750255430882
145,-4.228456913827656,-4.352575499403916
146,-4.188376753507014,-4.555283325786786
147,-4.148296593186373,-4.726905801382413
148,-4.108216432865731,-4.866678163000939
149,-4.0681362725450905,-4.974041370722142
150,-4.028056112224449,-5.048643388706846
151,-3.987975951903808,-5.090339200024529
152,-3.947895791583167,-5.099189569345071
153,-3.907815631262525,-5.075458574553878
154,-3.8677354709418843,-5.019609935352948
155,-3.8276553106212425,-4.932302173667759
156,-3.7875751503006017,-4.8143826471559645
157,-3.74749498997996,-4.666880503274955
158,-3.707414829659319,-4.490998607180692
159,-3.6673346693386772,-4.288104502169662
160,-3.6272545090180364,-4.059720466414717
161,-3.5871743486973955,-3.807512734358032
162,-3.5470941883767537,-3.533279955291073
163,-3.507014028056113,-3.2389409653526533
164,-3.466933867735471,-2.9265219523969495
165,-3.42685370741483,-2.5981430959111274
166,-3.3867735470941884,-2.2560047663864657
167,-3.3466933867735476,-1.9023733702621086
168,-3.306613226452906,-1.5395669277612
169,-3.266533066132265,-1.1699404716260118
170,-3.226452905811623,-0.7958713549318049
171,-3.1863727454909823,-0.41974455582519055
172,-3.1462925851703414,-0.04393806619714252
173,-3.1062124248496996,-0.3291915500241438
174,-3.0661322645290587,-0.6973233450787937
175,-3.026052104208417,-1.058185840462844
176,-2.985971943887776,-1.4095704659913764
177,-2.9458917835671343,-1.7493445090659845
178,-2.9058116232464934,-2.0754635019124392
179,-2.8657314629258517,-2.3859829784711355
180,-2.825651302605211,-2.679069536891497
181,-2.785571142284569,-2.95301114817635
182,-2.745490981963928,-3.206226656412556
183,-2.7054108216432873,-3.4372744211812836
184,-2.6653306613226455,-3.6448600581322497
185,-2.6252505010020046,-3.827843239299818
186,-2.585170340681363,-3.9852435205011756
187,-2.545090180360722,-4.11624516905421
188,-2.50501002004008,-4.220200971051407
189,-2.4649298597194393,-4.296635003491158
190,-2.4248496993987976,-4.345244362665455
191,-2.3847695390781567,-4.365899846298227
192,-2.344689378757515,-4.358645592988476
193,-2.304609218436874,-4.32369768850252
194,-2.264529058116233,-4.261441754348339
195,-2.2244488977955914,-4.172429539819738
196,-2.1843687374749505,-4.057374544288425
197,-2.1442885771543088,-3.917146701918177
198,-2.104208416833668,-3.752766166149273
199,-2.064128256513026,-3.565396236225638
200,-2.0240480961923852,-3.356335472687404
201,-1.9839679358717444,-3.1270090531033374
202,-1.9438877755511026,-2.878959423349862
203,-1.9038076152304608,-2.6138363034358014
204,-1.8637274549098208,-2.33338611020688
205,-1.823647294589179,-2.0394408622257916
206,-1.7835671342685373,-1.733906634698489
207,-1.7434869739478955,-1.418751634493491
208,-1.7034068136272555,-1.0959939670701777
209,-1.6633266533066138,-0.7676891684860482
210,-1.623246492985972,-0.43591757658833674
211,-1.5831663326653302,-0.10277161600834371
212,-1.5430861723446903,-0.22965692833095416
213,-1.5030060120240485,-0.5592895748117673
214,-1.4629258517034067,-0.8840736721833266
215,-1.4228456913827667,-1.2019947176015342
216,-1.382765531062125,-1.5110883947107216
217,-1.3426853707414832,-1.8094522627728211
218,-1.3026052104208414,-2.0952570301671476
219,-1.2625250501002014,-2.366757348262628
220,-1.2224448897795597,-2.622302064688998
221,-1.182364729458918,-2.860343878384303
222,-1.1422845691382761,-3.07944834245447
223,-1.1022044088176361,-3.278302164823776
224,-1.0621242484969944,-3.4557207608614413
225,-1.0220440881763526,-3.6106550166136895
226,-0.9819639278557126,-3.7421972259286522
227,-0.9418837675350709,-3.8495861696055913
228,-0.9018036072144291,-3.9322113097042073
229,-0.8617234468937873,-3.9896160772857727
230,-0.8216432865731473,-4.021500237097017
231,-0.7815631262525056,-4.027721318021392
232,-0.7414829659318638,-4.008295103481314
233,-0.701402805611222,-3.9633951813499544
234,-0.661322645290582,-3.8933515582927254
235,-0.6212424849699403,-3.798648348777823
236,-0.5811623246492985,-3.6799205542433677
237,-0.5410821643286585,-3.5379499530570797
238,-0.5010020040080168,-3.3736601269259707
239,-0.460921843687375,-3.188110654280867
240,-0.4208416833667332,-2.98249050584746
241,-0.38076152304609323,-2.7581106820978203
242,-0.34068136272545146,-2.516396136528803
243,-0.3006012024048097,-2.2588770327151977
244,-0.26052104208416793,-1.9871793868131136
245,-0.22044088176352794,-1.7030151506247737
246,-0.18036072144288617,-1.4081717934599045
247,-0.1402805611222444,-1.1045014438259837
248,-0.10020040080160442,-0.7939096544336707
249,-0.06012024048096265,-0.4783438561032409
250,-0.020040080160320883,-0.15978156789071513
251,0.020040080160320883,-0.15978156789071513
252,0.060120240480960874,-0.4783438561032269
253,0.10020040080160264,-0.7939096544336568
254,0.1402805611222444,-1.1045014438259837
255,0.18036072144288617,-1.4081717934599045
256,0.22044088176352616,-1.7030151506247608
257,0.26052104208416793,-1.9871793868131136
258,0.3006012024048097,-2.2588770327151977
259,0.3406813627254497,-2.5163961365287917
260,0.38076152304609145,-2.75811068209781
261,0.4208416833667332,-2.98249050584746
262,0.460921843687375,-3.188110654280867
263,0.501002004008015,-3.373660126925963
264,0.5410821643286567,-3.5379499530570726
265,0.5811623246492985,-3.6799205542433677
266,0.6212424849699403,-3.798648348777823
267,0.6613226452905803,-3.893351558292722
268,0.701402805611222,-3.9633951813499544
269,0.7414829659318638,-4.008295103481314
270,0.7815631262525038,-4.027721318021392
271,0.8216432865731456,-4.021500237097018
272,0.8617234468937873,-3.9896160772857727
273,0.9018036072144291,-3.9322113097042073
274,0.9418837675350691,-3.849586169605596
275,0.9819639278557108,-3.742197225928658
276,1.0220440881763526,-3.6106550166136895
277,1.0621242484969944,-3.4557207608614413
278,1.1022044088176344,-3.2783021648237844
279,1.1422845691382761,-3.07944834245447
280,1.182364729458918,-2.860343878384303
281,1.222444889779558,-2.6223020646890087
282,1.2625250501001997,-2.3667573482626385
283,1.3026052104208414,-2.0952570301671476
284,1.3426853707414832,-1.8094522627728211
285,1.3827655310621232,-1.511088394710735
286,1.422845691382765,-1.2019947176015482
287,1.4629258517034067,-0.8840736721833266
288,1.5030060120240485,-0.5592895748117673
289,1.5430861723446885,-0.22965692833096885
290,1.5831663326653302,-0.10277161600834371
291,1.623246492985972,-0.43591757658833674
292,1.663326653306612,-0.7676891684860336
293,1.7034068136272538,-1.0959939670701633
294,1.7434869739478955,-1.418751634493491
295,1.7835671342685373,-1.733906634698489
296,1.8236472945891773,-2.0394408622257787
297,1.863727454909819,-2.3333861102068676
298,1.9038076152304608,-2.6138363034358014
299,1.9438877755511026,-2.878959423349862
300,1.9839679358717426,-3.1270090531033254
301,2.0240480961923843,-3.356335472687399
302,2.064128256513026,-3.565396236225638
303,2.104208416833666,-3.7527661661492653
304,2.144288577154308,-3.917146701918174
305,2.1843687374749496,-4.057374544288423
306,2.2244488977955914,-4.172429539819738
307,2.2645290581162314,-4.2614417543483345
308,2.304609218436873,-4.323697688502519
309,2.344689378757515,-4.358645592988476
310,2.3847695390781567,-4.365899846298227
311,2.4248496993987967,-4.345244362665456
312,2.4649298597194385,-4.2966350034911605
313,2.50501002004008,-4.220200971051407
314,2.54509018036072,-4.116245169054215
315,2.585170340681362,-3.985243520501179
316,2.6252505010020037,-3.827843239299822
317,2.6653306613226455,-3.6448600581322497
318,2.7054108216432855,-3.4372744211812924
319,2.7454909819639273,-3.2062266564125594
320,2.785571142284569,-2.95301114817635
321,2.825651302605209,-2.67906953689151
322,2.865731462925851,-2.385982978471142
323,2.9058116232464926,-2.0754635019124463
324,2.9458917835671343,-1.7493445090659845
325,2.9859719438877743,-1.4095704659913921
326,3.026052104208416,-1.0581858404628517
327,3.066132264529058,-0.6973233450788011
328,3.1062124248496996,-0.3291915500241438
329,3.1462925851703396,-0.04393806619712592
330,3.1863727454909814,-0.4197445558251823
331,3.226452905811623,-0.7958713549318049
332,3.266533066132263,-1.1699404716259953
333,3.306613226452905,-1.5395669277611923
334,3.3466933867735467,-1.9023733702621008
335,3.3867735470941884,-2.2560047663864657
336,3.4268537074148284,-2.5981430959111123
337,3.46693386773547,-2.9265219523969432
338,3.507014028056112,-3.2389409653526466
339,3.5470941883767537,-3.533279955291073
340,3.5871743486973937,-3.8075127343580197
341,3.6272545090180355,-4.059720466414709
342,3.6673346693386772,-4.288104502169662
343,3.7074148296593172,-4.490998607180684
344,3.747494989979959,-4.666880503274952
345,3.7875751503006008,-4.814382647155961
346,3.8276553106212425,-4.932302173667759
347,3.8677354709418825,-5.019609935352945
348,3.9078156312625243,-5.075458574553877
349,3.947895791583166,-5.099189569345071
350,3.987975951903808,-5.090339200024529
351,4.028056112224448,-5.048643388706845
352,4.06813627254509,-4.974041370722143
353,4.108216432865731,-4.866678163000939
354,4.148296593186371,-4.726905801382419
355,4.188376753507013,-4.555283325786791
356,4.228456913827655,-4.3525754994039225
357,4.268537074148297,-4.119750255430882
358,4.308617234468937,-3.8579748724003395
359,4.348697394789578,-3.568610886737137
360,4.38877755511022,-3.253207758819642
361,4.428857715430862,-2.9134953164607906
362,4.468937875751502,-2.551375007317736
363,4.509018036072144,-2.168909999242586
364,4.5490981963927855,-1.7683141749561841
365,4.589178356713425,-1.3519400746157701
366,4.629258517034067,-0.9222658468130919
367,4.669338677354709,-0.48188127523693713
368,4.709418837675351,-0.03347295462025309
369,4.749498997995991,-0.4201913043733728
370,4.7895791583166325,-0.8762787560281694
371,4.829659318637274,-1.3319085957134056
372,4.869739478957916,-1.7841693360319186
373,4.909819639278556,-2.230136583492239
374,4.949899799599198,-2.666891112512176
375,4.98997995991984,-3.091537130420085
376,5.0300601202404795,-3.501220624570194
377,5.070140280561121,-3.8931476807513006
378,5.110220440881763,-4.264602660765985
379,5.150300601202405,-4.612966126407074
380,5.190380761523045,-4.935732397071102
381,5.230460921843687,-5.2305266289368575
382,5.270541082164328,-5.495121305004669
383,5.31062124248497,-5.727452027342589
384,5.35070140280561,-5.925632505615171
385,5.390781563126252,-6.0879686393748305
386,5.430861723446894,-6.212971595663368
387,5.470941883767534,-6.299369788189002
388,5.511022044088175,-6.346119669692884
389,5.551102204408817,-6.352415255077276
390,5.591182364729459,-6.317696299408623
391,5.631262525050099,-6.241655062002736
392,5.671342685370741,-6.1242415954121725
393,5.7114228456913825,-5.9656675062308535
394,5.751503006012024,-5.766408143166162
395,5.791583166332664,-5.527203176760977
396,5.831663326653306,-5.249055544429309
397,5.871743486973948,-4.933228744050183
398,5.911823647294588,-4.5812424691911415
399,5.9519038076152295,-4.1948665890518795
400,5.991983967935871,-3.7761134863718695
401,6.032064128256511,-3.3272287767742657
402,6.072144288577153,-2.8506804432631867
403,6.112224448897795,-2.349146429790029
404,6.152304609218437,-1.8255007478943035
405,6.192384769539078,-1.2827981603451903
406,6.23246492985972,-0.7242575153966059
407,6.272545090180358,-0.1532438146605468
408,6.312625250501,-0.42675089336161004
409,6.352705410821642,-1.0121276934309518
410,6.392785571142284,-1.5992019486065079
411,6.432865731462925,-2.184225293753689
412,6.472945891783567,-2.763408354094372
413,6.513026052104209,-3.3329440589852646
414,6.553106212424851,-3.88903141541877
415,6.593186372745489,-4.427899600783234
416,6.633266533066131,-4.945832230240177
417,6.673346693386772,-5.439191650711259
418,6.713426853707414,-5.904443110955977
419,6.753507014028056,-6.338178655585275
420,6.793587174348698,-6.737140590128054
421,6.8336673346693395,-7.098244364462106
422,6.873747494989978,-7.418600723054722
423,6.9138276553106195,-7.695536972540294
424,6.953907815631261,-7.926617220194743
425,6.993987975951903,-8.10966144085035
426,7.034068136272545,-8.242763234717383
427,7.074148296593187,-8.32430614443117
428,7.114228456913828,-8.352978406402467
429,7.1543086172344665,-8.327786019190798
430,7.194388777555108,-8.248064020113048
431,7.23446893787575,-8.113485870606379
432,7.274549098196392,-7.924070860941999
433,7.314629258517034,-7.6801894556869925
434,7.354709418837675,-7.3825665127815085
435,7.394789579158317,-7.03228232117933
436,7.434869739478959,-6.6307714146285495
437,7.474949899799597,-6.179819132277262
438,7.515030060120239,-5.681555910305025
439,7.555110220440881,-5.138449302629644
440,7.595190380761522,-4.553293742838404
441,7.635270541082164,-3.929198073765664
442,7.675350701402806,-3.269570885495059
443,7.715430861723448,-2.578103716921133
444,7.755511022044086,-1.8587521902720003
445,7.795591182364728,-1.1157151620817236
446,7.8356713426853695,-0.35341198792117356
447,7.875751503006011,-0.42354198834689705
448,7.915831663326653,-1.2103615970101622
449,7.955911823647295,-2.0021195203962288
450,7.9959919839679365,-2.79377533810989
451,8.036072144288575,-3.5802057803787126
452,8.076152304609217,-4.356236019918775
453,8.116232464929858,-5.116671823251016
454,8.1563126252505,-5.856332373865103
455,8.196392785571142,-6.570083572103508
456,8.236472945891784,-7.252871610197817
457,8.276553106212425,-7.899756615585826
458,8.316633266533067,-8.505946151528937
459,8.356713426853705,-9.066828361180944
460,8.396793587174347,-9.578004539673385
461,8.436873747494989,-10.035320918511257
462,8.47695390781563,-10.434899447645858
463,8.517034068136272,-10.773167363022065
464,8.557114228456914,-11.046885331200773
465,8.597194388777556,-11.253173967832952
466,8.637274549098194,-11.389538533303718
467,8.677354709418836,-11.453891616758737
468,8.717434869739478,-11.44457362894673
469,8.75751503006012,-11.360370934829296
470,8.797595190380761,-11.200531468680776
471,8.837675350701403,-10.964777687377191
472,8.877755511022045,-10.653316731697503
473,8.917835671342683,-10.266847680663226
474,8.957915831663325,-9.806565800153576
475,8.997995991983966,-9.274163704167021
476,9.038076152304608,-8.67182936506887
477,9.07815631262525,-8.002240927872199
478,9.118236472945892,-7.268558302942159
479,9.158316633266534,-6.474411531382915
480,9.198396793587175,-5.623885937648667
481,9.238476953907814,-4.721504104495601
482,9.278557114228455,-3.772204726136295
483,9.318637274549097,-2.781318416248977
484,9.358717434869739,-1.7545405681935606
485,9.39879759519038,-0.6979013852746371
486,9.438877755511022,-0.38226678097573263
487,9.478957915831664,-1.479364626870941
488,9.519038076152302,-2.586563450339553
489,9.559118236472944,-3.6968448674473913
490,9.599198396793586,-4.8030424793168445
491,9.639278557114228,-5.897885260687699
492,9.67935871743487,-6.97404242608332
493,9.719438877755511,-8.024169515516864
494,9.759519038076153,-9.040955428998664
495,9.799599198396791,-10.017170127897899
496,9.839679358717433,-10.94571271156885
497,9.879759519038075,-11.819659569663354
498,9.919839679358716,-12.632312304305831
499,9.959919839679358,-13.377245111869868
500,10.0,-14.048351311540141
